SiteID;SiteName;SiteCode;FullSiteCode;Latitude;Longitude;Elevation;State;County;Comments;Discharge.start;Discharge.end;Precipitation.start;Precipitation.end;Tmax.start;Tmax.end;Tmin.start;Tmin.end;Water_Level.start;Water_Level.end
29;Marcoiano;TOS01000925;OD:TOS01000925;44.054421;11.304825;NA;NA;Toscana;NA;NA;NA;1991;2014;1992;2014;1992;2014;NA;NA
30;Le Croci (Barberino);TOS01000926;OD:TOS01000926;44.009686;11.271917;NA;NA;Toscana;NA;NA;NA;1993;2015;1951;2015;1951;2015;NA;NA
31;Ponte a Olmo;TOS01000931;OD:TOS01000931;44.049072;11.304384;NA;NA;Toscana;NA;NA;NA;1991;2015;NA;NA;NA;NA;NA;NA
32;Vaglia;TOS01000941;OD:TOS01000941;43.912891;11.280048;NA;NA;Toscana;NA;NA;NA;1991;2015;NA;NA;NA;NA;NA;NA
33;S. Agata di Mugello;TOS01000961;OD:TOS01000961;44.021705;11.33531;NA;NA;Toscana;NA;NA;NA;1991;2015;NA;NA;NA;NA;NA;NA
34;Razzuolo;TOS01000979;OD:TOS01000979;44.031584;11.467726;NA;NA;Toscana;NA;NA;NA;1991;2015;NA;NA;NA;NA;NA;NA
35;Ronta;TOS01000991;OD:TOS01000991;44.009048;11.436408;NA;NA;Toscana;NA;NA;NA;1977;2015;NA;NA;NA;NA;NA;NA
36;Borgo S. Lorenzo;TOS01000999;OD:TOS01000999;43.957877;11.39051;NA;NA;Toscana;NA;NA;NA;1977;2015;1951;2015;1951;2015;NA;NA
37;Villore;TOS01001011;OD:TOS01001011;43.966733;11.546251;NA;NA;Toscana;NA;NA;NA;1991;2015;1951;2015;1951;2015;NA;NA
38;Dicomano;TOS01001029;OD:TOS01001029;43.892594;11.5279;NA;NA;Toscana;NA;NA;NA;2000;2015;NA;NA;NA;NA;NA;NA
39;Consuma;TOS01001041;OD:TOS01001041;43.784466;11.585201;NA;NA;Toscana;NA;NA;NA;1940;2015;2000;2015;2000;2015;NA;NA
40;S. Brigida all'Opaco;TOS01001059;OD:TOS01001059;43.854377;11.39838;NA;NA;Toscana;NA;NA;NA;2000;2015;NA;NA;NA;NA;NA;NA
41;Firenze Genio Civile;TOS01001095;OD:TOS01001095;43.779406;11.258303;NA;NA;Toscana;NA;NA;NA;1930;2015;2014;2015;2014;2015;NA;NA
42;Firenze Universita';TOS01001096;OD:TOS01001096;43.798788;11.25114;NA;NA;Toscana;NA;NA;NA;2000;2015;1998;2015;1998;2015;NA;NA
43;Cercina;TOS01001102;OD:TOS01001102;43.844258;11.261496;NA;NA;Toscana;NA;NA;NA;2000;2015;NA;NA;NA;NA;NA;NA
44;Caldine;TOS01001103;OD:TOS01001103;43.845709;11.340546;NA;NA;Toscana;NA;NA;NA;2000;2015;NA;NA;NA;NA;NA;NA
45;Lamole;TOS01001115;OD:TOS01001115;43.548568;11.356912;NA;NA;Toscana;NA;NA;NA;1996;2014;NA;NA;NA;NA;NA;NA
46;Ferrone;TOS01001129;OD:TOS01001129;43.655384;11.259984;NA;NA;Toscana;NA;NA;NA;2000;2015;NA;NA;NA;NA;NA;NA
47;Ugolino;TOS01001136;OD:TOS01001136;43.698928;11.29777;NA;NA;Toscana;NA;NA;NA;2000;2014;NA;NA;NA;NA;NA;NA
48;Antella;TOS01001141;OD:TOS01001141;43.730104;11.329965;NA;NA;Toscana;NA;NA;NA;2000;2010;2000;2011;2000;2011;NA;NA
49;S. Colombano;TOS01001147;OD:TOS01001147;43.780686;11.127037;NA;NA;Toscana;NA;NA;NA;1992;2014;1992;2014;1992;2014;NA;NA
50;Cantagallo;TOS01001151;OD:TOS01001151;44.023971;11.083228;NA;NA;Toscana;NA;NA;NA;2000;2015;NA;NA;NA;NA;NA;NA
51;Gavigno;TOS01001161;OD:TOS01001161;44.070043;11.090323;NA;NA;Toscana;NA;NA;NA;2000;2015;NA;NA;NA;NA;NA;NA
52;Vernio;TOS01001171;OD:TOS01001171;44.04747;11.156912;NA;NA;Toscana;NA;NA;NA;1996;2015;NA;NA;NA;NA;NA;NA
54;Le Croci Calenzano;TOS01001189;OD:TOS01001189;43.946505;11.214416;NA;NA;Toscana;NA;NA;NA;2000;2015;NA;NA;NA;NA;NA;NA
55;Prato Universita';TOS01001205;OD:TOS01001205;43.885556;11.099213;NA;NA;Toscana;NA;NA;NA;2000;2015;1998;2015;1998;2015;NA;NA
56;Capalle;TOS01001212;OD:TOS01001212;43.828851;11.139133;NA;NA;Toscana;NA;NA;NA;2000;2014;1998;2014;1998;2014;NA;NA
57;S. Giusto;TOS01001215;OD:TOS01001215;43.759952;11.193765;NA;NA;Toscana;NA;NA;NA;1992;2015;1992;2015;1992;2015;NA;NA
58;Case Passerini;TOS01001225;OD:TOS01001225;43.814406;11.17746;NA;NA;Toscana;NA;NA;NA;1992;2015;1992;2015;1992;2015;NA;NA
59;Cireglio;TOS01001249;OD:TOS01001249;43.995497;10.854748;NA;NA;Toscana;NA;NA;NA;2000;2014;NA;NA;NA;NA;NA;NA
60;Montagnana;TOS01001253;OD:TOS01001253;43.953666;10.823039;NA;NA;Toscana;NA;NA;NA;2000;2015;NA;NA;NA;NA;NA;NA
